# DSCP 실측 스케줄 (iperf --dscp-change)
# rel_time_s,dscp
0,15
0.999927,44
1.999982,24
3.000049,44
3.500131,24
4.499738,44
5.500705,15
6.500859,24
7.499893,44
8.000114,15
8.499803,24
9.000823,44
9.500956,24
9.999861,15
10.500862,24
11.501852,44
12.001047,15
12.999691,24
13.499711,44
14.500539,24
15.001643,44
16.000136,24
16.500146,44
17.500272,15
18.001185,24
18.510889,44
19.499783,15
20.116822,0
